Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Type,Unidirectional Channels,Voltage - Reverse Standoff (Typ),Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Current - Peak Pulse (10/1000µs),Power - Peak Pulse,Power Line Protection,Applications,Capacitance @ Frequency,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Bidirectional Channels,Grade,Qualification,URL
https://www.onsemi.com/pub/Collateral/ESD9X3.3ST5G-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5023/488%7E514AA%7E%7E2.jpg,"ESD9X3.3ST5GOSTR-ND,ESD9X3.3ST5GOSCT-ND,ESD9X3.3ST5GOSDKR-ND",ESD9X3.3ST5G,onsemi,onsemi,TVS DIODE 3.3VWM 10.4VC SOD923,"62,013",0.26,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,1,3.3V (Max),5V,10.4V,9.8A (8/20µs),102W,No,General Purpose,80pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,SOD-923,SOD-923,-,-,-,https://www.digikey.com/en/products/detail/onsemi/ESD9X3-3ST5G/1476615
https://www.ti.com/lit/ds/symlink/esd1lin24-q1.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6184/296%7E4228484%7EDYF%7E2.jpg,"296-ESD1LIN24DYFRQ1TR-ND,296-ESD1LIN24DYFRQ1CT-ND,296-ESD1LIN24DYFRQ1DKR-ND",ESD1LIN24DYFRQ1,Texas Instruments,Texas Instruments,TVS DIODE 24VWM 37VC SOD323,"2,003",0.26,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,24V (Max),35.5V,37V (Typ),4.3A (8/20µs),159W,No,CAN,2.3pF @ 1MHz,-55°C ~ 150°C (TA),Surface Mount,"SC-76, SOD-323",SOD-323,1,Automotive,AEC-Q101,https://www.digikey.com/en/products/detail/texas-instruments/ESD1LIN24DYFRQ1/17748501
https://www.onsemi.com/pub/Collateral/ESDL2012-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5881/488%7E152AX%7E%7E2.jpg,"488-ESDL2012MX4T5GTR-ND,488-ESDL2012MX4T5GCT-ND,488-ESDL2012MX4T5GDKR-ND",ESDL2012MX4T5G,onsemi,onsemi,TVS DIODE 1VWM 5.2VC 2DFN,"201,739",0.27,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,1V (Max),1.4V,5.2V,8A,-,No,USB,0.18pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,0201 (0603 Metric),2-DFN (0.6x0.3),1,-,-,https://www.digikey.com/en/products/detail/onsemi/ESDL2012MX4T5G/12528455
https://www.diodes.com/assets/Datasheets/D5V0P1B2LP.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5753/31%7EX2-DFN1006-2%7E%7E2-View-2.jpg,"D5V0P1B2LP-7BDITR-ND,D5V0P1B2LP-7BDICT-ND,D5V0P1B2LP-7BDIDKR-ND",D5V0P1B2LP-7B,Diodes Incorporated,Diodes Incorporated,TVS DIODE 5.5VWM 13VC X1DFN10062,"153,935",0.27,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5.5V (Max),6V,13V,4A (8/20µs),-,No,General Purpose,8pF @ 1MHz,-65°C ~ 150°C (TJ),Surface Mount,0402 (1006 Metric),X1-DFN1006-2,1,-,-,https://www.digikey.com/en/products/detail/diodes-incorporated/D5V0P1B2LP-7B/4967037
https://toshiba.semicon-storage.com/info/docget.jsp?did=56013&prodName=DF2S5M4CT,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6449/264%7E1-1P1A%7E%7E2.jpg,"DF2S5M4CTL3FTR-ND,DF2S5M4CTL3FCT-ND,DF2S5M4CTL3FDKR-ND","DF2S5M4CT,L3F",Toshiba Semiconductor and Storage,Toshiba Semiconductor and Storage,TVS DIODE 3.6VWM 15VC CST2,"14,620",0.27,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,1,3.6V (Max),3.7V,15V,2A (8/20µs),30W,No,-,0.35pF @ 1MHz,150°C (TJ),Surface Mount,SOD-882,CST2,-,-,-,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/DF2S5M4CT-L3F/7394049
https://datasheets.kyocera-avx.com/AVX-GiGuard.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2809/MFG_GG040205170N2P.jpg,"478-10595-2-ND,478-10595-1-ND,478-10595-6-ND",GG040205170N2P,KYOCERA AVX,KYOCERA AVX,TVS DIODE 5VWM 10VC 402,"640,232",0.28,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",GiGUARD,Active,Zener,-,5V,5.1V,10V,8A (8/20µs),80W,No,General Purpose,17pF @ 1MHz,-55°C ~ 125°C,Surface Mount,0402 (1005 Metric),0402 (1005 Metric),1,-,-,https://www.digikey.com/en/products/detail/kyocera-avx/GG040205170N2P/6826547
https://www.onsemi.com/pub/Collateral/ESD8472-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5881/488%7E152AF%7E%7E2.jpg,"ESD8472MUT5GOSTR-ND,ESD8472MUT5GOSCT-ND,ESD8472MUT5GOSDKR-ND",ESD8472MUT5G,onsemi,onsemi,TVS DIODE 5.3VWM 14VC 2X3DFN,"332,668",0.28,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5.3V (Max),7V,14V,3A (8/20µs),-,No,RF Antenna,0.2pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,0201 (0603 Metric),2-X3DFN (0.6x0.3) (0201),1,-,-,https://www.digikey.com/en/products/detail/onsemi/ESD8472MUT5G/5257582
https://datasheets.kyocera-avx.com/AVX-GiGuard.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4243/giguard_750sq.jpg,"478-GG060305100N2PTR-ND,478-GG060305100N2PCT-ND,478-GG060305100N2PDKR-ND",GG060305100N2P,KYOCERA AVX,KYOCERA AVX,TVS DIODE 5VWM 12VC 0603,"205,548",0.28,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",GiGUARD,Active,Zener,-,5V,7.5V,12V,8A,96W,No,"Ethernet, HDMI, USB",-,-55°C ~ 125°C (TA),Surface Mount,0603 (1608 Metric),603,1,-,-,https://www.digikey.com/en/products/detail/kyocera-avx/GG060305100N2P/14552130
https://www.onsemi.com/pub/Collateral/ESD9C3.3S-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E514AB-01%7E%7E2.jpg,"ESD9C3.3ST5GOSTR-ND,ESD9C3.3ST5GOSCT-ND,ESD9C3.3ST5GOSDKR-ND",ESD9C3.3ST5G,onsemi,onsemi,TVS DIODE 3.3VWM SOD923,"202,226",0.28,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,1,3.3V (Max),5V,-,-,-,No,-,12.8pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,SOD-923,SOD-923,-,-,-,https://www.digikey.com/en/products/detail/onsemi/ESD9C3-3ST5G/1646450
https://www.infineon.com/dgdl/Infineon-ESD131-B1-W0201-DS-v01_00-EN.pdf?fileId=5546d4625cc9456a015ce94850964889,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/790/MFG_ESD131B1W0201E6327XTSA1.jpg,"ESD131B1W0201E6327XTSA1TR-ND,ESD131B1W0201E6327XTSA1CT-ND,ESD131B1W0201E6327XTSA1DKR-ND",ESD131B1W0201E6327XTSA1,Infineon Technologies,Infineon Technologies,TVS DIODE 5.5VWM 13VC WLL-2-3,"126,056",0.28,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5.5V,6V,13V,3.5A (8/20µs),26W,No,"HDMI, USB",0.2pF @ 2.5GHz,-55°C ~ 125°C,Surface Mount,0201 (0603 Metric),WLL-2-3,1,-,-,https://www.digikey.com/en/products/detail/infineon-technologies/ESD131B1W0201E6327XTSA1/7428077
