Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Bidirectional Channels","Voltage - Reverse Standoff (Typ)","Voltage - Breakdown (Min)","Voltage - Clamping (Max) @ Ipp","Current - Peak Pulse (10/1000µs)","Power - Peak Pulse","Power Line Protection","Applications","Capacitance @ Frequency","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Unidirectional Channels","Grade","Qualification","URL"
"https://www.onsemi.com/pdf/datasheet/df3a6.8fut1-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5001/488%7E419-04%7ESQ%2CW%7E3.jpg","DF3A6.8FUT1GOSTR-ND,DF3A6.8FUT1GOSCT-ND,DF3A6.8FUT1GOSDKR-ND","DF3A6.8FUT1G","onsemi","onsemi","TVS DIODE 5VWM 16VC SC703","84,978","0.29","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V","6.4V","16V","9.37A (8/20µs)","150W","No","-","-","-55°C ~ 150°C (TJ)","Surface Mount","SC-70, SOT-323","SC-70-3 (SOT323)","2","-","-","https://www.digikey.com/en/products/detail/onsemi/DF3A6-8FUT1G/918455"
"https://www.onsemi.com/pdf/datasheet/esd8011-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5881/488%7E152AF%7E%7E2.jpg","ESD8011MUT5GOSTR-ND,ESD8011MUT5GOSCT-ND,ESD8011MUT5GOSDKR-ND","ESD8011MUT5G","onsemi","onsemi","TVS DIODE 5.5VWM 19VC 2X3DFN","68,259","0.29","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","1","5.5V (Max)","6.5V","19V","3.6A (8/20µs)","34W","No","General Purpose","0.1pF @ 1MHz","-55°C ~ 125°C (TJ)","Surface Mount","0201 (0603 Metric)","2-X3DFN (0.6x0.3) (0201)","-","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD8011MUT5G/5131367"
"https://www.onsemi.com/pdf/datasheet/esd7381-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5881/488%7E152AF%7E%7E2.jpg","ESD7381MUT5GOSTR-ND,ESD7381MUT5GOSCT-ND,ESD7381MUT5GOSDKR-ND","ESD7381MUT5G","onsemi","onsemi","TVS DIODE 3.3VWM 10VC 2X3DFN","125,109","0.31","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","3.3V (Max)","5V","10V","3A (8/20µs)","-","No","RF Antenna","0.37pF @ 1MHz","-40°C ~ 125°C (TJ)","Surface Mount","0201 (0603 Metric)","2-X3DFN (0.6x0.3) (0201)","1","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD7381MUT5G/4847669"
"https://www.onsemi.com/pdf/datasheet/esd7c3.3d-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E631AA-01%7EM%7E3.jpg","ESD7C3.3DT5GOSTR-ND,ESD7C3.3DT5GOSCT-ND,ESD7C3.3DT5GOSDKR-ND","ESD7C3.3DT5G","onsemi","onsemi","TVS DIODE 3.3VWM SOT723","59,425","0.32","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","3.3V (Max)","5V","-","-","-","No","General Purpose","13pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-723","SOT-723","2","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD7C3-3DT5G/1646447"
"https://www.onsemi.com/pdf/datasheet/esd7c3.3d-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E631AA-01%7EM%7E3.jpg","ESD7C5.0DT5GOSTR-ND,ESD7C5.0DT5GOSCT-ND,ESD7C5.0DT5GOSDKR-ND","ESD7C5.0DT5G","onsemi","onsemi","TVS DIODE 5VWM SOT723","206,951","0.33","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V (Max)","11V","-","-","-","No","General Purpose","6.2pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-723","SOT-723","2","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD7C5-0DT5G/1646448"
"https://www.onsemi.com/pdf/datasheet/sd05t1-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E477-02%7E%7E2.jpg","SD05T1GOSTR-ND,2832-SD05T1GTR-ND,SD05T1GOSCT-ND,SD05T1GOSDKR-ND","SD05T1G","onsemi","onsemi,Flip Electronics","TVS DIODE 5VWM 9.8VC SOD323","0","0.33","0","1","Tape & Reel (TR),Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V","6.2V","9.8V","24A (8/20µs)","350W","No","-","350pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SC-76, SOD-323","SOD-323","1","-","-","https://www.digikey.com/en/products/detail/onsemi/SD05T1G/920302"
"https://www.onsemi.com/pdf/datasheet/nup2301mw6t1-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E419B-02%7EDF%2CDW%2CSQ%7E6.jpg","NUP2301MW6T1GOSTR-ND,NUP2301MW6T1GOSCT-ND,NUP2301MW6T1GOSDKR-ND","NUP2301MW6T1G","onsemi","onsemi","TVS DIODE 70VWM SC88/SC706","2,415","0.33","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Steering (Rail to Rail)","2","70V","70V","-","-","-","No","General Purpose","1.6pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","6-TSSOP, SC-88, SOT-363","SC-88/SC70-6/SOT-363","-","-","-","https://www.digikey.com/en/products/detail/onsemi/NUP2301MW6T1G/1749082"
"https://www.onsemi.com/pdf/datasheet/esd9l-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E514AB-01%7E%7E2.jpg","ESD9L3.3ST5GOSTR-ND,ESD9L3.3ST5GOSCT-ND,ESD9L3.3ST5GOSDKR-ND","ESD9L3.3ST5G","onsemi","onsemi","TVS DIODE 3.3VWM 9VC SOD923","154,547","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","3.3V (Max)","4.8V","9V","-","-","No","General Purpose","0.5pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOD-923","SOD-923","1","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD9L3-3ST5G/1961066"
"https://www.onsemi.com/pdf/datasheet/nup2114-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4304/488%7E463B-01%7EXV5%7E5.JPG","NUP2114UPXV5T1GOSTR-ND,NUP2114UPXV5T1GOSCT-ND,NUP2114UPXV5T1GOSDKR-ND","NUP2114UPXV5T1G","onsemi","onsemi","TVS DIODE 5VWM 10VC SOT553","18,555","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Steering (Rail to Rail)","-","5V (Max)","5.5V","10V (Typ)","8A (8/20µs)","-","Yes","General Purpose","0.8pF @ 1MHz","-40°C ~ 125°C (TJ)","Surface Mount","SOT-553","SOT-553","2","-","-","https://www.digikey.com/en/products/detail/onsemi/NUP2114UPXV5T1G/2050567"
"https://www.onsemi.com/pdf/datasheet/cm1213a-04so-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6020/488%7E318F-05%7E%7E6.jpg","CM1213A-04SOOSTR-ND,CM1213A-04SOOSCT-ND,CM1213A-04SOOSDKR-ND","CM1213A-04SO","onsemi","onsemi","TVS DIODE 3.3VWM 10VC SC74","19,003","0.37","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Steering (Rail to Rail)","-","3.3V","6V","10V (Typ)","1A (8/20µs)","-","Yes","General Purpose","-","-40°C ~ 85°C (TA)","Surface Mount","SC-74, SOT-457","SC-74","4","-","-","https://www.digikey.com/en/products/detail/onsemi/CM1213A-04SO/2401195"
